date,ra,dec,expnum,exptime,band,ccd,mag,ml_score,objid,fakeid
2014/10/28 08:11:12,3:07:55.24,-10:37:22.8,372229,90.0,i,3,22.69,0.923,29125553,0
2014/10/23 08:27:53,3:08:06.34,-10:36:17.3,370738,90.0,r,3,23.15,0.757,28934809,0
2014/10/21 08:35:51,3:08:10.68,-10:35:49.5,369940,90.0,i,44,23.3,0.79,28734109,0
2014/10/21 08:41:47,3:08:10.69,-10:35:49.4,369943,90.0,z,51,22.68,0.825,28712844,0
2014/10/21 08:33:53,3:08:10.70,-10:35:49.5,369939,90.0,r,44,23.12,0.923,29109581,0
2014/9/27 07:29:21,3:08:56.21,-10:29:11.2,362923,90.0,r,46,23.48,0.913,28272044,0
2014/9/27 07:31:19,3:08:56.22,-10:29:11.3,362924,90.0,i,46,22.91,0.903,28304563,0
2015/11/30 06:04:44,3:07:58.72,-10:35:21.4,497815,90.0,i,22,22.79,0.912,31672788,0
2015/12/17 04:35:15,3:07:23.66,-10:35:03.1,502705,90.0,r,22,23.03,0.87,31717681,0
2015/12/17 04:37:16,3:07:23.66,-10:35:02.8,502706,90.0,g,22,23.59,0.9,31715583,0
2016/01/16 02:47:06,3:06:41.90,-10:30:24.6,511748,90.0,i,5,0,0,0,0
#2016/08/01 01:19:00,3:12:02.51,-9:59:35.7,0,90.0,i,0,0,0,0,0
#2016/08/01 03:19:00,3:12:02.57,-9:59:37.0,0,90.0,i,0,0,0,0,0
