date,ra,dec,expnum,exptime,band,ccd,mag,ml_score,objid,fakeid
2014/11/12 08:21:44,3:46:05.61,-31:14:33.6,376759,90.0,z,18,22.56,0.857,99605809,0
2014/11/18 08:02:23,3:45:27.76,-31:15:50.0,379086,90.0,g,17,24.05,0.663,100910629,0
2015/1/8 03:39:53,3:40:49.43,-30:54:19.8,395553,90.0,z,52,22.77,0.853,102058795,0
2015/1/10 04:05:01,3:40:42.26,-30:52:23.3,396350,90.0,i,4,22.64,0.867,102228954,0
2015/1/25 03:16:41,3:40:03.28,-30:36:04.0,402670,90.0,g,60,23.46,0.877,105999394,0
2015/2/1 02:37:18,3:39:54.21,-30:27:30.6,405167,90.0,z,11,22.86,0.83,106678239,0
2015/11/15 08:16:08,3:52:56.38,-30:26:04.6,493287,90.0,i,9,22.64,0.901,108667701,0
2015/11/16 07:56:04,3:52:50.21,-30:26:18.2,493664,90.0,g,9,22.96,0.98,108624575,0
2015/11/16 07:54:07,3:52:50.19,-30:26:18.1,493663,90.0,r,9,22.66,0.963,108614887,0
2015/11/29 07:07:55,3:51:28.26,-30:27:16.9,497384,90.0,z,60,22.51,0.91,108906945,0
2016/1/14 03:59:33,3:47:34.22,-30:01:07.2,511144,90.0,i,11,22.67,0.92,111096601,0
2016/1/14 04:01:33,3:47:34.21,-30:01:07.0,511145,90.0,r,11,23.29,0.913,111116769,0
2016/1/14 04:03:32,3:47:34.21,-30:01:07.1,511146,90.0,g,11,23.58,0.883,110948354,0
